"city","date","rate","state"
"Bengaluru","2019-12-31",70.26,"Karnataka"
"Bengaluru","2020-01-01",70.26,"Karnataka"
"Bengaluru","2020-01-02",70.42,"Karnataka"
"Bengaluru","2020-01-03",70.58,"Karnataka"
"Bengaluru","2020-01-04",70.73,"Karnataka"
"Bengaluru","2020-01-05",70.85,"Karnataka"
"Bengaluru","2020-01-06",71.02,"Karnataka"
"Bengaluru","2020-01-07",71.12,"Karnataka"
"Bengaluru","2020-01-08",71.12,"Karnataka"
"Bengaluru","2020-01-09",71.29,"Karnataka"
"Bengaluru","2020-01-10",71.41,"Karnataka"
"Bengaluru","2020-01-11",71.53,"Karnataka"
"Bengaluru","2020-01-12",71.48,"Karnataka"
"Bengaluru","2020-01-13",71.42,"Karnataka"
"Bengaluru","2020-01-14",71.42,"Karnataka"
"Bengaluru","2020-01-15",71.42,"Karnataka"
"Bengaluru","2020-01-16",71.27,"Karnataka"
"Bengaluru","2020-01-17",71.12,"Karnataka"
"Bengaluru","2020-01-18",70.95,"Karnataka"
"Bengaluru","2020-01-19",70.79,"Karnataka"
"Bengaluru","2020-01-20",70.59,"Karnataka"
"Bengaluru","2020-01-21",70.37,"Karnataka"
"Bengaluru","2020-01-22",70.37,"Karnataka"
"Bengaluru","2020-01-23",70.17,"Karnataka"
"Bengaluru","2020-01-24",69.91,"Karnataka"
"Bengaluru","2020-01-25",69.91,"Karnataka"
"Bengaluru","2020-01-26",69.31,"Karnataka"
"Bengaluru","2020-01-27",68.98,"Karnataka"
"Bengaluru","2020-01-28",68.85,"Karnataka"
"Bengaluru","2020-01-29",68.85,"Karnataka"
"Bengaluru","2020-01-30",68.63,"Karnataka"
"Bengaluru","2020-01-30",68.63,"Karnataka"
"Bengaluru","2020-01-31",68.54,"Karnataka"
"Bengaluru","2020-02-01",68.45,"Karnataka"
"Bengaluru","2020-02-02",68.37,"Karnataka"
"Bengaluru","2020-02-03",68.29,"Karnataka"
"Bengaluru","2020-02-04",68.27,"Karnataka"
"Bengaluru","2020-02-05",68.27,"Karnataka"
"Bengaluru","2020-02-06",68.11,"Karnataka"
"Bengaluru","2020-02-07",67.86,"Karnataka"
"Bengaluru","2020-02-08",67.6,"Karnataka"
"Bengaluru","2020-02-09",67.6,"Karnataka"
"Bengaluru","2020-02-10",67.24,"Karnataka"
"Bengaluru","2020-02-11",67.03,"Karnataka"
"Bengaluru","2020-02-12",67.03,"Karnataka"
"Bengaluru","2020-02-13",66.98,"Karnataka"
"Bengaluru","2020-02-14",66.98,"Karnataka"
"Bengaluru","2020-02-15",66.93,"Karnataka"
"Bengaluru","2020-02-16",66.93,"Karnataka"
"Bengaluru","2020-02-17",66.93,"Karnataka"
"Bengaluru","2020-02-18",66.8,"Karnataka"
"Bengaluru","2020-02-19",66.8,"Karnataka"
"Bengaluru","2020-02-20",66.8,"Karnataka"
"Bengaluru","2020-02-21",66.8,"Karnataka"
"Bengaluru","2020-02-22",66.8,"Karnataka"
"Bengaluru","2020-02-23",66.8,"Karnataka"
"Bengaluru","2020-02-24",66.86,"Karnataka"
"Bengaluru","2020-02-25",66.86,"Karnataka"
"Bengaluru","2020-02-26",66.86,"Karnataka"
"Bengaluru","2020-02-27",66.8,"Karnataka"
"Bengaluru","2020-02-28",66.75,"Karnataka"
"Bengaluru","2020-02-29",66.66,"Karnataka"
"Bengaluru","2020-03-01",66.48,"Karnataka"
"Bengaluru","2020-03-02",66.27,"Karnataka"
"Bengaluru","2020-03-03",66.2,"Karnataka"
"Bengaluru","2020-03-04",66.2,"Karnataka"
"Bengaluru","2020-03-05",66.11,"Karnataka"
"Bengaluru","2020-03-06",65.97,"Karnataka"
"Bengaluru","2020-03-07",65.85,"Karnataka"
"Bengaluru","2020-03-08",65.66,"Karnataka"
"Bengaluru","2020-03-09",65.4,"Karnataka"
"Bengaluru","2020-03-10",65.4,"Karnataka"
"Bengaluru","2020-03-11",65.4,"Karnataka"
"Bengaluru","2020-03-12",65.02,"Karnataka"
"Bengaluru","2020-03-13",64.86,"Karnataka"
"Bengaluru","2020-03-14",64.68,"Karnataka"
"Bengaluru","2020-03-15",64.55,"Karnataka"
"Bengaluru","2020-03-16",64.4,"Karnataka"
"Bengaluru","2020-03-17",64.4,"Karnataka"
"Bengaluru","2020-03-18",64.4,"Karnataka"
"Bengaluru","2020-03-19",64.4,"Karnataka"
"Bengaluru","2020-03-20",64.4,"Karnataka"
"Bengaluru","2020-03-21",64.4,"Karnataka"
"Bengaluru","2020-03-22",64.4,"Karnataka"
"Bengaluru","2020-03-23",64.4,"Karnataka"
"Bengaluru","2020-03-24",64.4,"Karnataka"
"Bengaluru","2020-03-25",64.4,"Karnataka"
"Bengaluru","2020-03-26",64.4,"Karnataka"
"Bengaluru","2020-03-27",64.4,"Karnataka"
"Bengaluru","2020-03-28",64.4,"Karnataka"
"Bengaluru","2020-03-29",64.4,"Karnataka"
"Bengaluru","2020-03-30",64.4,"Karnataka"
"Bengaluru","2020-03-31",64.4,"Karnataka"
"Bengaluru","2020-04-01",64.4,"Karnataka"
"Bengaluru","2020-04-02",64.4,"Karnataka"
"Bengaluru","2020-04-03",64.4,"Karnataka"
"Bengaluru","2020-04-04",64.4,"Karnataka"
"Bengaluru","2020-04-05",64.4,"Karnataka"
"Bengaluru","2020-04-06",64.4,"Karnataka"
"Bengaluru","2020-04-07",65.94,"Karnataka"
"Bengaluru","2020-04-08",65.94,"Karnataka"
"Bengaluru","2020-04-09",65.94,"Karnataka"
"Bengaluru","2020-04-10",65.94,"Karnataka"
"Bengaluru","2020-04-11",65.94,"Karnataka"
"Bengaluru","2020-04-13",65.94,"Karnataka"
"Bengaluru","2020-04-14",65.94,"Karnataka"
"Bengaluru","2020-04-15",65.94,"Karnataka"
"Bengaluru","2020-04-16",65.94,"Karnataka"
"Bengaluru","2020-04-17",65.94,"Karnataka"
"Bengaluru","2020-04-18",65.94,"Karnataka"
"Bengaluru","2020-04-19",65.94,"Karnataka"
"Bengaluru","2020-04-20",65.94,"Karnataka"
"Bengaluru","2020-04-21",65.94,"Karnataka"
"Bengaluru","2020-04-22",65.94,"Karnataka"
"Bengaluru","2020-04-23",65.94,"Karnataka"
"Bengaluru","2020-04-24",65.94,"Karnataka"
"Bengaluru","2020-04-25",65.94,"Karnataka"
"Bengaluru","2020-04-26",65.94,"Karnataka"
"Bengaluru","2020-04-27",65.94,"Karnataka"
"Bengaluru","2020-04-28",65.94,"Karnataka"
"Bengaluru","2020-04-29",65.94,"Karnataka"
"Bengaluru","2020-04-30",65.94,"Karnataka"
"Bengaluru","2020-05-01",65.94,"Karnataka"
"Bengaluru","2020-05-02",65.94,"Karnataka"
"Bengaluru","2020-05-03",65.94,"Karnataka"
"Bengaluru","2020-05-04",65.94,"Karnataka"
"Bengaluru","2020-05-05",65.94,"Karnataka"
"Bengaluru","2020-05-06",65.94,"Karnataka"
"Bengaluru","2020-05-07",65.94,"Karnataka"
"Bengaluru","2020-05-08",65.94,"Karnataka"
"Bengaluru","2020-05-09",65.94,"Karnataka"
"Bengaluru","2020-05-10",65.94,"Karnataka"
"Bengaluru","2020-05-11",65.94,"Karnataka"
"Bengaluru","2020-05-12",65.94,"Karnataka"
"Bengaluru","2020-05-13",65.94,"Karnataka"
"Bengaluru","2020-05-14",65.94,"Karnataka"
"Bengaluru","2020-05-15",65.94,"Karnataka"
"Bengaluru","2020-05-16",65.94,"Karnataka"
"Bengaluru","2020-05-17",65.94,"Karnataka"
"Bengaluru","2020-05-18",65.94,"Karnataka"
"Bengaluru","2020-05-19",65.94,"Karnataka"
"Bengaluru","2020-05-20",65.94,"Karnataka"
"Bengaluru","2020-05-21",65.94,"Karnataka"
"Bengaluru","2020-05-22",65.94,"Karnataka"
"Bengaluru","2020-05-23",65.94,"Karnataka"
"Bengaluru","2020-05-24",65.94,"Karnataka"
"Bengaluru","2020-05-25",65.94,"Karnataka"
"Bengaluru","2020-05-26",65.94,"Karnataka"
"Bengaluru","2020-05-27",65.94,"Karnataka"
"Bengaluru","2020-05-28",65.94,"Karnataka"
"Bengaluru","2020-05-29",65.94,"Karnataka"
"Bengaluru","2020-05-30",65.94,"Karnataka"
"Bengaluru","2020-05-31",65.94,"Karnataka"
"Bengaluru","2020-06-01",65.94,"Karnataka"
"Bengaluru","2020-06-02",65.94,"Karnataka"
"Bengaluru","2020-06-03",65.94,"Karnataka"
"Bengaluru","2020-06-04",65.94,"Karnataka"
"Bengaluru","2020-06-05",65.94,"Karnataka"
"Bengaluru","2020-06-06",65.94,"Karnataka"
"Bengaluru","2020-06-07",65.94,"Karnataka"
