"city","date","rate","state"
"Bengaluru","2019-12-31",77.69,"Karnataka"
"Bengaluru","2020-01-02",77.83,"Karnataka"
"Bengaluru","2020-01-03",77.93,"Karnataka"
"Bengaluru","2020-01-04",78.03,"Karnataka"
"Bengaluru","2020-01-05",78.13,"Karnataka"
"Bengaluru","2020-01-06",78.28,"Karnataka"
"Bengaluru","2020-01-07",78.43,"Karnataka"
"Bengaluru","2020-01-08",78.33,"Karnataka"
"Bengaluru","2020-01-09",78.41,"Karnataka"
"Bengaluru","2020-01-10",78.56,"Karnataka"
"Bengaluru","2020-01-11",78.62,"Karnataka"
"Bengaluru","2020-01-12",78.52,"Karnataka"
"Bengaluru","2020-01-13",78.4,"Karnataka"
"Bengaluru","2020-01-14",78.3,"Karnataka"
"Bengaluru","2020-01-16",78.14,"Karnataka"
"Bengaluru","2020-01-17",77.99,"Karnataka"
"Bengaluru","2020-01-18",77.84,"Karnataka"
"Bengaluru","2020-01-19",77.66,"Karnataka"
"Bengaluru","2020-01-20",77.55,"Karnataka"
"Bengaluru","2020-01-21",77.39,"Karnataka"
"Bengaluru","2020-01-22",77.39,"Karnataka"
"Bengaluru","2020-01-23",77.21,"Karnataka"
"Bengaluru","2020-01-24",76.99,"Karnataka"
"Bengaluru","2020-01-25",76.74,"Karnataka"
"Bengaluru","2020-01-26",76.44,"Karnataka"
"Bengaluru","2020-01-27",76.23,"Karnataka"
"Bengaluru","2020-01-28",76.12,"Karnataka"
"Bengaluru","2020-01-29",76.12,"Karnataka"
"Bengaluru","2020-01-30",75.88,"Karnataka"
"Bengaluru","2020-01-31",75.77,"Karnataka"
"Bengaluru","2020-02-01",75.63,"Karnataka"
"Bengaluru","2020-02-02",75.53,"Karnataka"
"Bengaluru","2020-02-03",75.48,"Karnataka"
"Bengaluru","2020-02-04",75.43,"Karnataka"
"Bengaluru","2020-02-05",75.43,"Karnataka"
"Bengaluru","2020-02-06",75.32,"Karnataka"
"Bengaluru","2020-02-07",75.1,"Karnataka"
"Bengaluru","2020-02-08",74.86,"Karnataka"
"Bengaluru","2020-02-09",74.64,"Karnataka"
"Bengaluru","2020-02-10",74.51,"Karnataka"
"Bengaluru","2020-02-11",74.35,"Karnataka"
"Bengaluru","2020-02-12",74.35,"Karnataka"
"Bengaluru","2020-02-13",74.35,"Karnataka"
"Bengaluru","2020-02-14",74.35,"Karnataka"
"Bengaluru","2020-02-15",74.35,"Karnataka"
"Bengaluru","2020-02-17",74.35,"Karnataka"
