"city","date","rate","state"
"Chennai","2019-12-31",71.84,"Tamil Nadu"
"Chennai","2020-01-01",71.84,"Tamil Nadu"
"Chennai","2020-01-02",72.01,"Tamil Nadu"
"Chennai","2020-01-03",72.17,"Tamil Nadu"
"Chennai","2020-01-04",72.32,"Tamil Nadu"
"Chennai","2020-01-05",72.45,"Tamil Nadu"
"Chennai","2020-01-06",72.63,"Tamil Nadu"
"Chennai","2020-01-07",72.73,"Tamil Nadu"
"Chennai","2020-01-08",72.73,"Tamil Nadu"
"Chennai","2020-01-09",72.91,"Tamil Nadu"
"Chennai","2020-01-10",73.03,"Tamil Nadu"
"Chennai","2020-01-11",73.16,"Tamil Nadu"
"Chennai","2020-01-12",73.11,"Tamil Nadu"
"Chennai","2020-01-13",73.04,"Tamil Nadu"
"Chennai","2020-01-14",73.04,"Tamil Nadu"
"Chennai","2020-01-15",73.04,"Tamil Nadu"
"Chennai","2020-01-16",72.89,"Tamil Nadu"
"Chennai","2020-01-17",72.73,"Tamil Nadu"
"Chennai","2020-01-18",72.56,"Tamil Nadu"
"Chennai","2020-01-19",72.39,"Tamil Nadu"
"Chennai","2020-01-20",72.18,"Tamil Nadu"
"Chennai","2020-01-21",71.96,"Tamil Nadu"
"Chennai","2020-01-22",71.96,"Tamil Nadu"
"Chennai","2020-01-23",71.76,"Tamil Nadu"
"Chennai","2020-01-24",71.5,"Tamil Nadu"
"Chennai","2020-01-25",71.5,"Tamil Nadu"
"Chennai","2020-01-26",70.9,"Tamil Nadu"
"Chennai","2020-01-27",70.52,"Tamil Nadu"
"Chennai","2020-01-28",70.38,"Tamil Nadu"
"Chennai","2020-01-29",70.38,"Tamil Nadu"
"Chennai","2020-01-30",70.16,"Tamil Nadu"
"Chennai","2020-01-30",70.16,"Tamil Nadu"
"Chennai","2020-01-31",70.06,"Tamil Nadu"
"Chennai","2020-02-01",69.94,"Tamil Nadu"
"Chennai","2020-02-02",69.86,"Tamil Nadu"
"Chennai","2020-02-03",69.77,"Tamil Nadu"
"Chennai","2020-02-04",69.75,"Tamil Nadu"
"Chennai","2020-02-05",69.75,"Tamil Nadu"
"Chennai","2020-02-06",69.59,"Tamil Nadu"
"Chennai","2020-02-07",69.33,"Tamil Nadu"
"Chennai","2020-02-08",69.07,"Tamil Nadu"
"Chennai","2020-02-09",69.07,"Tamil Nadu"
"Chennai","2020-02-10",68.68,"Tamil Nadu"
"Chennai","2020-02-11",68.47,"Tamil Nadu"
"Chennai","2020-02-12",68.47,"Tamil Nadu"
"Chennai","2020-02-13",68.42,"Tamil Nadu"
"Chennai","2020-02-14",68.42,"Tamil Nadu"
"Chennai","2020-02-15",68.36,"Tamil Nadu"
"Chennai","2020-02-16",68.36,"Tamil Nadu"
"Chennai","2020-02-17",68.36,"Tamil Nadu"
"Chennai","2020-02-18",68.23,"Tamil Nadu"
"Chennai","2020-02-19",68.23,"Tamil Nadu"
"Chennai","2020-02-20",68.23,"Tamil Nadu"
"Chennai","2020-02-21",68.23,"Tamil Nadu"
"Chennai","2020-02-22",68.23,"Tamil Nadu"
"Chennai","2020-02-23",68.23,"Tamil Nadu"
"Chennai","2020-02-24",68.28,"Tamil Nadu"
"Chennai","2020-02-25",68.28,"Tamil Nadu"
"Chennai","2020-02-26",68.28,"Tamil Nadu"
"Chennai","2020-02-27",68.23,"Tamil Nadu"
"Chennai","2020-02-28",68.18,"Tamil Nadu"
"Chennai","2020-02-29",68.08,"Tamil Nadu"
"Chennai","2020-03-01",67.84,"Tamil Nadu"
"Chennai","2020-03-02",67.63,"Tamil Nadu"
"Chennai","2020-03-03",67.55,"Tamil Nadu"
"Chennai","2020-03-04",67.55,"Tamil Nadu"
"Chennai","2020-03-05",67.46,"Tamil Nadu"
"Chennai","2020-03-06",67.32,"Tamil Nadu"
"Chennai","2020-03-07",67.19,"Tamil Nadu"
"Chennai","2020-03-08",67,"Tamil Nadu"
"Chennai","2020-03-09",66.73,"Tamil Nadu"
"Chennai","2020-03-10",66.73,"Tamil Nadu"
"Chennai","2020-03-11",66.73,"Tamil Nadu"
"Chennai","2020-03-12",66.33,"Tamil Nadu"
"Chennai","2020-03-13",66.17,"Tamil Nadu"
"Chennai","2020-03-14",65.99,"Tamil Nadu"
"Chennai","2020-03-15",65.85,"Tamil Nadu"
"Chennai","2020-03-16",65.69,"Tamil Nadu"
"Chennai","2020-03-17",65.69,"Tamil Nadu"
"Chennai","2020-03-18",65.69,"Tamil Nadu"
"Chennai","2020-03-19",65.69,"Tamil Nadu"
"Chennai","2020-03-20",65.69,"Tamil Nadu"
"Chennai","2020-03-21",65.69,"Tamil Nadu"
"Chennai","2020-03-22",65.69,"Tamil Nadu"
"Chennai","2020-03-23",65.69,"Tamil Nadu"
"Chennai","2020-03-24",65.69,"Tamil Nadu"
"Chennai","2020-03-25",65.69,"Tamil Nadu"
"Chennai","2020-03-26",65.69,"Tamil Nadu"
"Chennai","2020-03-27",65.69,"Tamil Nadu"
"Chennai","2020-03-28",65.69,"Tamil Nadu"
"Chennai","2020-03-29",65.69,"Tamil Nadu"
"Chennai","2020-03-30",65.69,"Tamil Nadu"
"Chennai","2020-03-31",65.69,"Tamil Nadu"
"Chennai","2020-04-01",65.69,"Tamil Nadu"
"Chennai","2020-04-02",65.69,"Tamil Nadu"
"Chennai","2020-04-03",65.69,"Tamil Nadu"
"Chennai","2020-04-04",65.69,"Tamil Nadu"
"Chennai","2020-04-05",65.69,"Tamil Nadu"
"Chennai","2020-04-06",65.69,"Tamil Nadu"
"Chennai","2020-04-07",65.69,"Tamil Nadu"
"Chennai","2020-04-08",65.69,"Tamil Nadu"
"Chennai","2020-04-09",65.69,"Tamil Nadu"
"Chennai","2020-04-10",65.69,"Tamil Nadu"
"Chennai","2020-04-11",65.69,"Tamil Nadu"
"Chennai","2020-04-13",65.69,"Tamil Nadu"
"Chennai","2020-04-14",65.69,"Tamil Nadu"
"Chennai","2020-04-15",65.69,"Tamil Nadu"
"Chennai","2020-04-16",65.69,"Tamil Nadu"
"Chennai","2020-04-17",65.69,"Tamil Nadu"
"Chennai","2020-04-18",65.69,"Tamil Nadu"
"Chennai","2020-04-19",65.69,"Tamil Nadu"
"Chennai","2020-04-20",65.69,"Tamil Nadu"
"Chennai","2020-04-21",65.69,"Tamil Nadu"
"Chennai","2020-04-22",65.69,"Tamil Nadu"
"Chennai","2020-04-23",65.69,"Tamil Nadu"
"Chennai","2020-04-24",65.69,"Tamil Nadu"
"Chennai","2020-04-25",65.69,"Tamil Nadu"
"Chennai","2020-04-26",65.69,"Tamil Nadu"
"Chennai","2020-04-27",65.69,"Tamil Nadu"
"Chennai","2020-04-28",65.69,"Tamil Nadu"
"Chennai","2020-04-29",65.69,"Tamil Nadu"
"Chennai","2020-04-30",65.69,"Tamil Nadu"
"Chennai","2020-05-01",65.69,"Tamil Nadu"
"Chennai","2020-05-02",65.69,"Tamil Nadu"
"Chennai","2020-05-03",65.69,"Tamil Nadu"
"Chennai","2020-05-04",65.69,"Tamil Nadu"
"Chennai","2020-05-05",68.2,"Tamil Nadu"
"Chennai","2020-05-06",68.2,"Tamil Nadu"
"Chennai","2020-05-07",68.2,"Tamil Nadu"
"Chennai","2020-05-08",68.2,"Tamil Nadu"
"Chennai","2020-05-09",68.2,"Tamil Nadu"
"Chennai","2020-05-10",68.2,"Tamil Nadu"
"Chennai","2020-05-11",68.2,"Tamil Nadu"
"Chennai","2020-05-12",68.2,"Tamil Nadu"
"Chennai","2020-05-13",68.2,"Tamil Nadu"
"Chennai","2020-05-14",68.2,"Tamil Nadu"
"Chennai","2020-05-15",68.2,"Tamil Nadu"
"Chennai","2020-05-16",68.2,"Tamil Nadu"
"Chennai","2020-05-17",68.2,"Tamil Nadu"
"Chennai","2020-05-18",68.2,"Tamil Nadu"
"Chennai","2020-05-19",68.2,"Tamil Nadu"
"Chennai","2020-05-20",68.2,"Tamil Nadu"
"Chennai","2020-05-21",68.2,"Tamil Nadu"
"Chennai","2020-05-22",68.2,"Tamil Nadu"
"Chennai","2020-05-23",68.2,"Tamil Nadu"
