"city","date","rate","state"
"Chennai","2019-12-31",78.1,"Tamil Nadu"
"Chennai","2020-01-02",78.24,"Tamil Nadu"
"Chennai","2020-01-03",78.34,"Tamil Nadu"
"Chennai","2020-01-04",78.44,"Tamil Nadu"
"Chennai","2020-01-05",78.54,"Tamil Nadu"
"Chennai","2020-01-06",78.7,"Tamil Nadu"
"Chennai","2020-01-07",78.85,"Tamil Nadu"
"Chennai","2020-01-08",78.75,"Tamil Nadu"
"Chennai","2020-01-09",78.83,"Tamil Nadu"
"Chennai","2020-01-10",78.98,"Tamil Nadu"
"Chennai","2020-01-11",79.04,"Tamil Nadu"
"Chennai","2020-01-12",78.94,"Tamil Nadu"
"Chennai","2020-01-13",78.82,"Tamil Nadu"
"Chennai","2020-01-14",78.72,"Tamil Nadu"
"Chennai","2020-01-16",78.55,"Tamil Nadu"
"Chennai","2020-01-17",78.41,"Tamil Nadu"
"Chennai","2020-01-18",78.25,"Tamil Nadu"
"Chennai","2020-01-19",78.07,"Tamil Nadu"
"Chennai","2020-01-20",77.95,"Tamil Nadu"
"Chennai","2020-01-21",77.79,"Tamil Nadu"
"Chennai","2020-01-22",77.79,"Tamil Nadu"
"Chennai","2020-01-23",77.61,"Tamil Nadu"
"Chennai","2020-01-24",77.39,"Tamil Nadu"
"Chennai","2020-01-25",77.14,"Tamil Nadu"
"Chennai","2020-01-26",76.84,"Tamil Nadu"
"Chennai","2020-01-27",76.62,"Tamil Nadu"
"Chennai","2020-01-28",76.5,"Tamil Nadu"
"Chennai","2020-01-29",76.5,"Tamil Nadu"
"Chennai","2020-01-30",76.26,"Tamil Nadu"
"Chennai","2020-01-31",76.15,"Tamil Nadu"
"Chennai","2020-02-01",76.01,"Tamil Nadu"
"Chennai","2020-02-02",75.91,"Tamil Nadu"
"Chennai","2020-02-03",75.85,"Tamil Nadu"
"Chennai","2020-02-04",75.8,"Tamil Nadu"
"Chennai","2020-02-05",75.8,"Tamil Nadu"
"Chennai","2020-02-06",75.69,"Tamil Nadu"
"Chennai","2020-02-07",75.47,"Tamil Nadu"
"Chennai","2020-02-08",75.23,"Tamil Nadu"
"Chennai","2020-02-09",75,"Tamil Nadu"
"Chennai","2020-02-10",74.86,"Tamil Nadu"
"Chennai","2020-02-11",74.69,"Tamil Nadu"
"Chennai","2020-02-12",74.69,"Tamil Nadu"
"Chennai","2020-02-13",74.69,"Tamil Nadu"
"Chennai","2020-02-14",74.69,"Tamil Nadu"
"Chennai","2020-02-15",74.69,"Tamil Nadu"
"Chennai","2020-02-17",74.69,"Tamil Nadu"
"Chennai","2020-02-18",74.64,"Tamil Nadu"
"Chennai","2020-02-19",74.64,"Tamil Nadu"
"Chennai","2020-02-20",74.64,"Tamil Nadu"
"Chennai","2020-02-21",74.64,"Tamil Nadu"
"Chennai","2020-02-24",74.77,"Tamil Nadu"
"Chennai","2020-02-25",74.77,"Tamil Nadu"
"Chennai","2020-02-26",74.77,"Tamil Nadu"
"Chennai","2020-02-27",74.71,"Tamil Nadu"
"Chennai","2020-02-28",74.71,"Tamil Nadu"
"Chennai","2020-02-29",74.64,"Tamil Nadu"
"Chennai","2020-03-01",74.49,"Tamil Nadu"
"Chennai","2020-03-02",74.26,"Tamil Nadu"
"Chennai","2020-03-03",74.21,"Tamil Nadu"
"Chennai","2020-03-04",74.21,"Tamil Nadu"
"Chennai","2020-03-05",74.05,"Tamil Nadu"
"Chennai","2020-03-06",73.89,"Tamil Nadu"
"Chennai","2020-03-07",73.76,"Tamil Nadu"
"Chennai","2020-03-08",73.56,"Tamil Nadu"
"Chennai","2020-03-09",73.31,"Tamil Nadu"
"Chennai","2020-03-10",73.01,"Tamil Nadu"
"Chennai","2020-03-11",73.01,"Tamil Nadu"
"Chennai","2020-03-12",72.84,"Tamil Nadu"
"Chennai","2020-03-13",72.69,"Tamil Nadu"
"Chennai","2020-03-14",72.56,"Tamil Nadu"
"Chennai","2020-03-15",72.43,"Tamil Nadu"
"Chennai","2020-03-16",72.26,"Tamil Nadu"
"Chennai","2020-03-17",72.26,"Tamil Nadu"
"Chennai","2020-03-18",72.26,"Tamil Nadu"
"Chennai","2020-03-19",72.26,"Tamil Nadu"
"Chennai","2020-03-20",72.26,"Tamil Nadu"
"Chennai","2020-03-21",72.26,"Tamil Nadu"
"Chennai","2020-03-22",72.26,"Tamil Nadu"
"Chennai","2020-03-23",72.26,"Tamil Nadu"
"Chennai","2020-03-24",72.26,"Tamil Nadu"
"Chennai","2020-03-25",72.26,"Tamil Nadu"
"Chennai","2020-03-26",72.26,"Tamil Nadu"
"Chennai","2020-03-27",72.26,"Tamil Nadu"
"Chennai","2020-03-28",72.26,"Tamil Nadu"
"Chennai","2020-03-29",72.26,"Tamil Nadu"
"Chennai","2020-03-30",72.26,"Tamil Nadu"
"Chennai","2020-03-31",72.26,"Tamil Nadu"
"Chennai","2020-04-01",72.26,"Tamil Nadu"
"Chennai","2020-04-02",72.26,"Tamil Nadu"
"Chennai","2020-04-03",72.26,"Tamil Nadu"
"Chennai","2020-04-04",72.26,"Tamil Nadu"
"Chennai","2020-04-05",72.26,"Tamil Nadu"
"Chennai","2020-04-06",72.26,"Tamil Nadu"
"Chennai","2020-04-07",72.26,"Tamil Nadu"
"Chennai","2020-04-08",72.26,"Tamil Nadu"
"Chennai","2020-04-09",72.26,"Tamil Nadu"
"Chennai","2020-04-10",72.26,"Tamil Nadu"
"Chennai","2020-04-11",72.26,"Tamil Nadu"
"Chennai","2020-04-12",72.26,"Tamil Nadu"
"Chennai","2020-04-13",72.26,"Tamil Nadu"
"Chennai","2020-04-14",72.26,"Tamil Nadu"
"Chennai","2020-04-15",72.26,"Tamil Nadu"
"Chennai","2020-04-16",72.26,"Tamil Nadu"
"Chennai","2020-04-17",72.26,"Tamil Nadu"
"Chennai","2020-04-18",72.26,"Tamil Nadu"
"Chennai","2020-04-20",72.26,"Tamil Nadu"
"Chennai","2020-04-21",72.26,"Tamil Nadu"
"Chennai","2020-04-22",72.26,"Tamil Nadu"
"Chennai","2020-04-23",72.26,"Tamil Nadu"
"Chennai","2020-04-24",72.26,"Tamil Nadu"
"Chennai","2020-04-25",72.26,"Tamil Nadu"
"Chennai","2020-04-26",72.26,"Tamil Nadu"
"Chennai","2020-04-27",72.26,"Tamil Nadu"
"Chennai","2020-04-28",72.26,"Tamil Nadu"
"Chennai","2020-04-29",72.26,"Tamil Nadu"
"Chennai","2020-04-30",72.26,"Tamil Nadu"
"Chennai","2020-05-01",72.26,"Tamil Nadu"
"Chennai","2020-05-02",72.26,"Tamil Nadu"
"Chennai","2020-05-03",72.26,"Tamil Nadu"
"Chennai","2020-05-04",72.26,"Tamil Nadu"
"Chennai","2020-05-05",75.52,"Tamil Nadu"
"Chennai","2020-05-06",75.52,"Tamil Nadu"
"Chennai","2020-05-07",75.52,"Tamil Nadu"
"Chennai","2020-05-08",75.52,"Tamil Nadu"
"Chennai","2020-05-09",75.52,"Tamil Nadu"
"Chennai","2020-05-10",75.52,"Tamil Nadu"
"Chennai","2020-05-11",75.52,"Tamil Nadu"
"Chennai","2020-05-12",75.52,"Tamil Nadu"
"Chennai","2020-05-13",75.52,"Tamil Nadu"
"Chennai","2020-05-14",75.52,"Tamil Nadu"
"Chennai","2020-05-15",75.52,"Tamil Nadu"
"Chennai","2020-05-16",75.52,"Tamil Nadu"
"Chennai","2020-05-17",75.52,"Tamil Nadu"
"Chennai","2020-05-18",75.52,"Tamil Nadu"
"Chennai","2020-05-19",75.52,"Tamil Nadu"
"Chennai","2020-05-20",75.52,"Tamil Nadu"
"Chennai","2020-05-21",75.52,"Tamil Nadu"
"Chennai","2020-05-22",75.52,"Tamil Nadu"
"Chennai","2020-05-23",75.52,"Tamil Nadu"
"Chennai","2020-05-24",75.52,"Tamil Nadu"
"Chennai","2020-05-25",75.52,"Tamil Nadu"
"Chennai","2020-05-26",75.52,"Tamil Nadu"
"Chennai","2020-05-27",75.52,"Tamil Nadu"
"Chennai","2020-05-28",75.52,"Tamil Nadu"
"Chennai","2020-05-29",75.52,"Tamil Nadu"
"Chennai","2020-05-30",75.52,"Tamil Nadu"
"Chennai","2020-05-31",75.52,"Tamil Nadu"
"Chennai","2020-06-01",75.52,"Tamil Nadu"
"Chennai","2020-06-02",75.52,"Tamil Nadu"
"Chennai","2020-06-03",75.52,"Tamil Nadu"
"Chennai","2020-06-04",75.52,"Tamil Nadu"
"Chennai","2020-06-05",75.52,"Tamil Nadu"
"Chennai","2020-06-06",75.52,"Tamil Nadu"
"Chennai","2020-06-07",76.12,"Tamil Nadu"
"Chennai","2020-06-08",76.72,"Tamil Nadu"
"Chennai","2020-06-09",77.26,"Tamil Nadu"
"Chennai","2020-06-10",77.66,"Tamil Nadu"
"Chennai","2020-06-11",78.26,"Tamil Nadu"
"Chennai","2020-06-12",78.86,"Tamil Nadu"
"Chennai","2020-06-13",79.46,"Tamil Nadu"
"Chennai","2020-06-14",80.06,"Tamil Nadu"
"Chennai","2020-06-15",79.94,"Tamil Nadu"
"Chennai","2020-06-16",80.35,"Tamil Nadu"
"Chennai","2020-06-17",80.84,"Tamil Nadu"
"Chennai","2020-06-18",81.31,"Tamil Nadu"
"Chennai","2020-06-19",81.8,"Tamil Nadu"
"Chennai","2020-06-20",82.25,"Tamil Nadu"
"Chennai","2020-06-21",82.56,"Tamil Nadu"
"Chennai","2020-06-22",82.85,"Tamil Nadu"
"Chennai","2020-06-23",83.02,"Tamil Nadu"
"Chennai","2020-06-24",83.02,"Tamil Nadu"
"Chennai","2020-06-25",83.16,"Tamil Nadu"
"Chennai","2020-06-26",83.35,"Tamil Nadu"
"Chennai","2020-06-27",83.57,"Tamil Nadu"
"Chennai","2020-06-28",83.57,"Tamil Nadu"
"Chennai","2020-06-29",83.62,"Tamil Nadu"
"Chennai","2020-06-30",83.62,"Tamil Nadu"
"Chennai","2020-07-01",83.62,"Tamil Nadu"
"Chennai","2020-07-02",83.62,"Tamil Nadu"
"Chennai","2020-07-03",83.62,"Tamil Nadu"
"Chennai","2020-07-04",83.62,"Tamil Nadu"
"Chennai","2020-07-05",83.62,"Tamil Nadu"
"Chennai","2020-07-06",83.62,"Tamil Nadu"
"Chennai","2020-07-07",83.62,"Tamil Nadu"
"Chennai","2020-07-08",83.62,"Tamil Nadu"
"Chennai","2020-07-09",83.62,"Tamil Nadu"
"Chennai","2020-07-10",83.62,"Tamil Nadu"
"Chennai","2020-07-11",83.62,"Tamil Nadu"
"Chennai","2020-07-12",83.62,"Tamil Nadu"
"Chennai","2020-07-13",83.62,"Tamil Nadu"
"Chennai","2020-07-15",83.62,"Tamil Nadu"
"Chennai","2020-07-16",83.62,"Tamil Nadu"
"Chennai","2020-07-17",83.62,"Tamil Nadu"
"Chennai","2020-07-18",83.62,"Tamil Nadu"
"Chennai","2020-07-19",83.62,"Tamil Nadu"
"Chennai","2020-07-20",83.62,"Tamil Nadu"
"Chennai","2020-07-21",83.62,"Tamil Nadu"
"Chennai","2020-07-22",83.62,"Tamil Nadu"
"Chennai","2020-07-23",83.62,"Tamil Nadu"
"Chennai","2020-07-24",83.62,"Tamil Nadu"
"Chennai","2020-07-25",83.62,"Tamil Nadu"
"Chennai","2020-07-26",83.62,"Tamil Nadu"
"Chennai","2020-07-27",83.62,"Tamil Nadu"
"Chennai","2020-07-28",83.62,"Tamil Nadu"
"Chennai","2020-07-29",83.62,"Tamil Nadu"
"Chennai","2020-07-30",83.62,"Tamil Nadu"
"Chennai","2020-07-31",83.62,"Tamil Nadu"
"Chennai","2020-08-01",83.62,"Tamil Nadu"
"Chennai","2020-08-02",83.62,"Tamil Nadu"
"Chennai","2020-08-03",83.62,"Tamil Nadu"
"Chennai","2020-08-04",83.62,"Tamil Nadu"
"Chennai","2020-08-05",83.62,"Tamil Nadu"
"Chennai","2020-08-06",83.62,"Tamil Nadu"
"Chennai","2020-08-07",83.62,"Tamil Nadu"
"Chennai","2020-08-08",83.62,"Tamil Nadu"
"Chennai","2020-08-09",83.62,"Tamil Nadu"
"Chennai","2020-08-10",83.62,"Tamil Nadu"
"Chennai","2020-08-11",83.62,"Tamil Nadu"
"Chennai","2020-08-12",83.62,"Tamil Nadu"
"Chennai","2020-08-13",83.62,"Tamil Nadu"
"Chennai","2020-08-14",83.62,"Tamil Nadu"
"Chennai","2020-08-15",83.62,"Tamil Nadu"
"Chennai","2020-08-16",83.77,"Tamil Nadu"
"Chennai","2020-08-17",83.91,"Tamil Nadu"
"Chennai","2020-08-18",84.05,"Tamil Nadu"
"Chennai","2020-08-19",84.05,"Tamil Nadu"
"Chennai","2020-08-20",84.14,"Tamil Nadu"
"Chennai","2020-08-21",84.31,"Tamil Nadu"
"Chennai","2020-08-22",84.45,"Tamil Nadu"
"Chennai","2020-08-23",84.57,"Tamil Nadu"
"Chennai","2020-08-24",84.69,"Tamil Nadu"
"Chennai","2020-08-25",84.78,"Tamil Nadu"
"Chennai","2020-08-26",84.78,"Tamil Nadu"
"Chennai","2020-08-27",84.87,"Tamil Nadu"
"Chennai","2020-08-28",84.96,"Tamil Nadu"
"Chennai","2020-08-29",84.96,"Tamil Nadu"
"Chennai","2020-08-30",85.05,"Tamil Nadu"
"Chennai","2020-08-31",85.05,"Tamil Nadu"
"Chennai","2020-09-01",85.09,"Tamil Nadu"
"Chennai","2020-09-02",85.09,"Tamil Nadu"
"Chennai","2020-09-03",85.09,"Tamil Nadu"
"Chennai","2020-09-04",85.09,"Tamil Nadu"
"Chennai","2020-09-05",85.09,"Tamil Nadu"
"Chennai","2020-09-06",85.09,"Tamil Nadu"
"Chennai","2020-09-07",85.09,"Tamil Nadu"
"Chennai","2020-09-08",85.09,"Tamil Nadu"
"Chennai","2020-09-09",85.09,"Tamil Nadu"
"Chennai","2020-09-10",85.01,"Tamil Nadu"
"Chennai","2020-09-11",85.01,"Tamil Nadu"
"Chennai","2020-09-12",84.9,"Tamil Nadu"
"Chennai","2020-09-13",84.9,"Tamil Nadu"
"Chennai","2020-09-14",84.78,"Tamil Nadu"
"Chennai","2020-09-15",84.63,"Tamil Nadu"
"Chennai","2020-09-16",84.63,"Tamil Nadu"
"Chennai","2020-09-17",84.49,"Tamil Nadu"
"Chennai","2020-09-18",84.26,"Tamil Nadu"
"Chennai","2020-09-19",84.26,"Tamil Nadu"
"Chennai","2020-09-20",84.26,"Tamil Nadu"
"Chennai","2020-09-21",84.26,"Tamil Nadu"
"Chennai","2020-09-22",84.19,"Tamil Nadu"
"Chennai","2020-09-23",84.19,"Tamil Nadu"
"Chennai","2020-09-24",84.19,"Tamil Nadu"
"Chennai","2020-09-25",84.19,"Tamil Nadu"
"Chennai","2020-09-26",84.19,"Tamil Nadu"
