"city","date","rate","state"
"Delhi","2019-12-31",68,"Delhi"
"Delhi","2020-01-01",68,"Delhi"
"Delhi","2020-01-02",68.16,"Delhi"
"Delhi","2020-01-03",68.31,"Delhi"
"Delhi","2020-01-04",68.46,"Delhi"
"Delhi","2020-01-05",68.57,"Delhi"
"Delhi","2020-01-06",68.74,"Delhi"
"Delhi","2020-01-07",68.84,"Delhi"
"Delhi","2020-01-08",68.84,"Delhi"
"Delhi","2020-01-09",69,"Delhi"
"Delhi","2020-01-10",69.11,"Delhi"
"Delhi","2020-01-11",69.23,"Delhi"
"Delhi","2020-01-12",69.18,"Delhi"
"Delhi","2020-01-13",69.12,"Delhi"
"Delhi","2020-01-14",69.12,"Delhi"
"Delhi","2020-01-15",69.12,"Delhi"
"Delhi","2020-01-16",68.98,"Delhi"
"Delhi","2020-01-17",68.83,"Delhi"
"Delhi","2020-01-18",68.67,"Delhi"
"Delhi","2020-01-19",68.51,"Delhi"
"Delhi","2020-01-20",68.32,"Delhi"
"Delhi","2020-01-21",68.1,"Delhi"
"Delhi","2020-01-22",68.1,"Delhi"
"Delhi","2020-01-23",67.9,"Delhi"
"Delhi","2020-01-24",67.64,"Delhi"
"Delhi","2020-01-25",67.64,"Delhi"
"Delhi","2020-01-26",67.04,"Delhi"
"Delhi","2020-01-27",66.77,"Delhi"
"Delhi","2020-01-28",66.64,"Delhi"
"Delhi","2020-01-29",66.64,"Delhi"
"Delhi","2020-01-30",66.42,"Delhi"
"Delhi","2020-01-30",66.42,"Delhi"
"Delhi","2020-01-31",66.34,"Delhi"
"Delhi","2020-02-01",66.23,"Delhi"
"Delhi","2020-02-02",66.15,"Delhi"
"Delhi","2020-02-03",66.07,"Delhi"
"Delhi","2020-02-04",66.05,"Delhi"
"Delhi","2020-02-05",66.05,"Delhi"
"Delhi","2020-02-06",65.93,"Delhi"
"Delhi","2020-02-07",65.69,"Delhi"
"Delhi","2020-02-08",65.44,"Delhi"
"Delhi","2020-02-09",65.44,"Delhi"
"Delhi","2020-02-10",65.08,"Delhi"
"Delhi","2020-02-11",64.88,"Delhi"
"Delhi","2020-02-12",64.88,"Delhi"
"Delhi","2020-02-13",64.83,"Delhi"
"Delhi","2020-02-14",64.83,"Delhi"
"Delhi","2020-02-15",64.78,"Delhi"
"Delhi","2020-02-16",64.78,"Delhi"
"Delhi","2020-02-17",64.78,"Delhi"
"Delhi","2020-02-18",64.66,"Delhi"
"Delhi","2020-02-19",64.66,"Delhi"
"Delhi","2020-02-20",64.66,"Delhi"
"Delhi","2020-02-21",64.66,"Delhi"
"Delhi","2020-02-22",64.66,"Delhi"
"Delhi","2020-02-23",64.66,"Delhi"
"Delhi","2020-02-24",64.71,"Delhi"
"Delhi","2020-02-25",64.71,"Delhi"
"Delhi","2020-02-26",64.71,"Delhi"
"Delhi","2020-02-27",64.66,"Delhi"
"Delhi","2020-02-28",64.61,"Delhi"
"Delhi","2020-02-29",64.52,"Delhi"
"Delhi","2020-03-01",64.34,"Delhi"
"Delhi","2020-03-02",64.14,"Delhi"
"Delhi","2020-03-03",64.07,"Delhi"
"Delhi","2020-03-04",64.07,"Delhi"
"Delhi","2020-03-05",63.98,"Delhi"
"Delhi","2020-03-06",63.85,"Delhi"
"Delhi","2020-03-07",63.73,"Delhi"
"Delhi","2020-03-08",63.55,"Delhi"
"Delhi","2020-03-09",63.3,"Delhi"
"Delhi","2020-03-10",63.3,"Delhi"
"Delhi","2020-03-11",63.3,"Delhi"
"Delhi","2020-03-12",62.93,"Delhi"
"Delhi","2020-03-13",62.78,"Delhi"
"Delhi","2020-03-14",62.6,"Delhi"
"Delhi","2020-03-15",62.48,"Delhi"
"Delhi","2020-03-16",62.33,"Delhi"
"Delhi","2020-03-17",62.33,"Delhi"
"Delhi","2020-03-18",62.33,"Delhi"
"Delhi","2020-03-19",62.33,"Delhi"
"Delhi","2020-03-20",62.33,"Delhi"
"Delhi","2020-03-21",62.33,"Delhi"
"Delhi","2020-03-22",62.33,"Delhi"
"Delhi","2020-03-23",62.33,"Delhi"
"Delhi","2020-03-24",62.33,"Delhi"
"Delhi","2020-03-25",62.33,"Delhi"
"Delhi","2020-03-26",62.33,"Delhi"
"Delhi","2020-03-27",62.33,"Delhi"
"Delhi","2020-03-28",62.33,"Delhi"
"Delhi","2020-03-29",62.33,"Delhi"
"Delhi","2020-03-30",62.33,"Delhi"
"Delhi","2020-03-31",62.33,"Delhi"
"Delhi","2020-04-01",62.33,"Delhi"
"Delhi","2020-04-02",62.33,"Delhi"
"Delhi","2020-04-03",62.33,"Delhi"
"Delhi","2020-04-04",62.33,"Delhi"
"Delhi","2020-04-05",62.33,"Delhi"
"Delhi","2020-04-06",62.33,"Delhi"
"Delhi","2020-04-07",62.33,"Delhi"
"Delhi","2020-04-08",62.33,"Delhi"
"Delhi","2020-04-09",62.33,"Delhi"
"Delhi","2020-04-10",62.33,"Delhi"
"Delhi","2020-04-11",62.33,"Delhi"
"Delhi","2020-04-13",62.33,"Delhi"
"Delhi","2020-04-14",62.33,"Delhi"
"Delhi","2020-04-15",62.33,"Delhi"
"Delhi","2020-04-16",62.33,"Delhi"
"Delhi","2020-04-17",62.33,"Delhi"
"Delhi","2020-04-18",62.33,"Delhi"
