"city","date","rate","state"
"Delhi","2019-12-31",75.18,"Delhi"
"Delhi","2020-01-02",75.31,"Delhi"
"Delhi","2020-01-03",75.41,"Delhi"
"Delhi","2020-01-04",75.51,"Delhi"
"Delhi","2020-01-05",75.6,"Delhi"
"Delhi","2020-01-06",75.75,"Delhi"
"Delhi","2020-01-07",75.9,"Delhi"
"Delhi","2020-01-08",75.8,"Delhi"
"Delhi","2020-01-09",75.87,"Delhi"
"Delhi","2020-01-10",76.02,"Delhi"
"Delhi","2020-01-11",76.07,"Delhi"
"Delhi","2020-01-12",75.97,"Delhi"
"Delhi","2020-01-13",75.86,"Delhi"
"Delhi","2020-01-14",75.76,"Delhi"
"Delhi","2020-01-16",75.61,"Delhi"
"Delhi","2020-01-17",75.47,"Delhi"
"Delhi","2020-01-18",75.32,"Delhi"
"Delhi","2020-01-19",75.15,"Delhi"
"Delhi","2020-01-20",75.04,"Delhi"
"Delhi","2020-01-21",74.88,"Delhi"
"Delhi","2020-01-22",74.88,"Delhi"
"Delhi","2020-01-23",74.7,"Delhi"
"Delhi","2020-01-24",74.48,"Delhi"
"Delhi","2020-01-25",74.23,"Delhi"
"Delhi","2020-01-26",73.93,"Delhi"
"Delhi","2020-01-27",73.77,"Delhi"
"Delhi","2020-01-28",73.66,"Delhi"
"Delhi","2020-01-29",73.66,"Delhi"
"Delhi","2020-01-30",73.42,"Delhi"
"Delhi","2020-01-31",73.33,"Delhi"
"Delhi","2020-02-01",73.19,"Delhi"
"Delhi","2020-02-02",73.09,"Delhi"
"Delhi","2020-02-03",73.04,"Delhi"
"Delhi","2020-02-04",72.99,"Delhi"
"Delhi","2020-02-05",72.99,"Delhi"
"Delhi","2020-02-06",72.89,"Delhi"
"Delhi","2020-02-07",72.68,"Delhi"
"Delhi","2020-02-08",72.45,"Delhi"
"Delhi","2020-02-09",72.23,"Delhi"
"Delhi","2020-02-10",72.1,"Delhi"
"Delhi","2020-02-11",71.94,"Delhi"
"Delhi","2020-02-12",71.94,"Delhi"
