"city","date","rate","state"
"Hyderabad","2019-12-31",74.06,"Telangana"
"Hyderabad","2020-01-01",74.06,"Telangana"
"Hyderabad","2020-01-02",74.23,"Telangana"
"Hyderabad","2020-01-03",74.39,"Telangana"
"Hyderabad","2020-01-04",74.54,"Telangana"
"Hyderabad","2020-01-05",74.67,"Telangana"
"Hyderabad","2020-01-06",74.86,"Telangana"
"Hyderabad","2020-01-07",74.96,"Telangana"
"Hyderabad","2020-01-08",74.96,"Telangana"
"Hyderabad","2020-01-09",75.14,"Telangana"
"Hyderabad","2020-01-10",75.26,"Telangana"
"Hyderabad","2020-01-11",75.39,"Telangana"
"Hyderabad","2020-01-12",75.34,"Telangana"
"Hyderabad","2020-01-13",75.27,"Telangana"
"Hyderabad","2020-01-14",75.27,"Telangana"
"Hyderabad","2020-01-15",75.27,"Telangana"
"Hyderabad","2020-01-16",75.12,"Telangana"
"Hyderabad","2020-01-17",74.96,"Telangana"
"Hyderabad","2020-01-18",74.78,"Telangana"
"Hyderabad","2020-01-19",74.61,"Telangana"
"Hyderabad","2020-01-20",74.4,"Telangana"
"Hyderabad","2020-01-21",74.18,"Telangana"
"Hyderabad","2020-01-22",74.18,"Telangana"
"Hyderabad","2020-01-23",73.98,"Telangana"
"Hyderabad","2020-01-24",73.72,"Telangana"
"Hyderabad","2020-01-25",73.72,"Telangana"
"Hyderabad","2020-01-26",73.12,"Telangana"
"Hyderabad","2020-01-27",72.72,"Telangana"
"Hyderabad","2020-01-28",72.58,"Telangana"
"Hyderabad","2020-01-29",72.58,"Telangana"
"Hyderabad","2020-01-30",72.36,"Telangana"
"Hyderabad","2020-01-30",72.36,"Telangana"
"Hyderabad","2020-01-31",72.25,"Telangana"
"Hyderabad","2020-02-01",72.13,"Telangana"
"Hyderabad","2020-02-02",72.05,"Telangana"
"Hyderabad","2020-02-03",71.95,"Telangana"
"Hyderabad","2020-02-04",71.93,"Telangana"
"Hyderabad","2020-02-05",71.93,"Telangana"
"Hyderabad","2020-02-06",71.77,"Telangana"
"Hyderabad","2020-02-07",71.51,"Telangana"
"Hyderabad","2020-02-08",71.24,"Telangana"
"Hyderabad","2020-02-09",71.24,"Telangana"
"Hyderabad","2020-02-10",70.84,"Telangana"
"Hyderabad","2020-02-11",70.62,"Telangana"
"Hyderabad","2020-02-12",70.62,"Telangana"
"Hyderabad","2020-02-13",70.57,"Telangana"
"Hyderabad","2020-02-14",70.57,"Telangana"
"Hyderabad","2020-02-15",70.51,"Telangana"
"Hyderabad","2020-02-16",70.51,"Telangana"
"Hyderabad","2020-02-17",70.51,"Telangana"
"Hyderabad","2020-02-18",70.38,"Telangana"
"Hyderabad","2020-02-19",70.38,"Telangana"
"Hyderabad","2020-02-20",70.38,"Telangana"
"Hyderabad","2020-02-21",70.38,"Telangana"
"Hyderabad","2020-02-22",70.38,"Telangana"
"Hyderabad","2020-02-23",70.38,"Telangana"
"Hyderabad","2020-02-24",70.44,"Telangana"
"Hyderabad","2020-02-25",70.44,"Telangana"
"Hyderabad","2020-02-26",70.44,"Telangana"
"Hyderabad","2020-02-27",70.38,"Telangana"
"Hyderabad","2020-02-28",70.33,"Telangana"
"Hyderabad","2020-02-29",70.23,"Telangana"
"Hyderabad","2020-03-01",69.99,"Telangana"
"Hyderabad","2020-03-02",69.77,"Telangana"
"Hyderabad","2020-03-03",69.69,"Telangana"
"Hyderabad","2020-03-04",69.69,"Telangana"
"Hyderabad","2020-03-05",69.6,"Telangana"
"Hyderabad","2020-03-06",69.46,"Telangana"
"Hyderabad","2020-03-07",69.32,"Telangana"
"Hyderabad","2020-03-08",69.13,"Telangana"
"Hyderabad","2020-03-09",68.86,"Telangana"
"Hyderabad","2020-03-10",68.86,"Telangana"
"Hyderabad","2020-03-11",68.86,"Telangana"
"Hyderabad","2020-03-12",68.45,"Telangana"
"Hyderabad","2020-03-13",68.29,"Telangana"
"Hyderabad","2020-03-14",68.11,"Telangana"
"Hyderabad","2020-03-15",67.97,"Telangana"
"Hyderabad","2020-03-16",67.8,"Telangana"
"Hyderabad","2020-03-17",67.8,"Telangana"
"Hyderabad","2020-03-18",67.8,"Telangana"
"Hyderabad","2020-03-19",67.8,"Telangana"
"Hyderabad","2020-03-20",67.8,"Telangana"
"Hyderabad","2020-03-21",67.8,"Telangana"
"Hyderabad","2020-03-22",67.8,"Telangana"
"Hyderabad","2020-03-23",67.8,"Telangana"
"Hyderabad","2020-03-24",67.8,"Telangana"
"Hyderabad","2020-03-25",67.8,"Telangana"
"Hyderabad","2020-03-26",67.8,"Telangana"
"Hyderabad","2020-03-27",67.8,"Telangana"
"Hyderabad","2020-03-28",67.8,"Telangana"
"Hyderabad","2020-03-29",67.8,"Telangana"
"Hyderabad","2020-03-30",67.8,"Telangana"
"Hyderabad","2020-03-31",67.8,"Telangana"
"Hyderabad","2020-04-01",67.8,"Telangana"
"Hyderabad","2020-04-02",67.8,"Telangana"
"Hyderabad","2020-04-03",67.8,"Telangana"
"Hyderabad","2020-04-04",67.8,"Telangana"
"Hyderabad","2020-04-05",67.8,"Telangana"
"Hyderabad","2020-04-06",67.8,"Telangana"
"Hyderabad","2020-04-07",67.8,"Telangana"
"Hyderabad","2020-04-08",67.8,"Telangana"
"Hyderabad","2020-04-09",67.8,"Telangana"
"Hyderabad","2020-04-10",67.8,"Telangana"
"Hyderabad","2020-04-11",67.8,"Telangana"
"Hyderabad","2020-04-13",67.8,"Telangana"
"Hyderabad","2020-04-14",67.8,"Telangana"
"Hyderabad","2020-04-15",67.8,"Telangana"
"Hyderabad","2020-04-16",67.8,"Telangana"
"Hyderabad","2020-04-17",67.8,"Telangana"
"Hyderabad","2020-04-18",67.8,"Telangana"
"Hyderabad","2020-04-19",67.8,"Telangana"
"Hyderabad","2020-04-20",67.8,"Telangana"
"Hyderabad","2020-04-21",67.8,"Telangana"
"Hyderabad","2020-04-22",67.8,"Telangana"
"Hyderabad","2020-04-23",67.8,"Telangana"
"Hyderabad","2020-04-24",67.8,"Telangana"
"Hyderabad","2020-04-25",67.8,"Telangana"
"Hyderabad","2020-04-26",67.8,"Telangana"
"Hyderabad","2020-04-27",67.8,"Telangana"
"Hyderabad","2020-04-28",67.8,"Telangana"
"Hyderabad","2020-04-29",67.8,"Telangana"
"Hyderabad","2020-04-30",67.8,"Telangana"
"Hyderabad","2020-05-01",67.8,"Telangana"
"Hyderabad","2020-05-02",67.8,"Telangana"
"Hyderabad","2020-05-03",67.8,"Telangana"
"Hyderabad","2020-05-04",67.8,"Telangana"
"Hyderabad","2020-05-05",67.8,"Telangana"
"Hyderabad","2020-05-06",67.8,"Telangana"
"Hyderabad","2020-05-07",67.8,"Telangana"
"Hyderabad","2020-05-08",67.8,"Telangana"
"Hyderabad","2020-05-09",67.8,"Telangana"
"Hyderabad","2020-05-10",67.8,"Telangana"
"Hyderabad","2020-05-11",67.8,"Telangana"
"Hyderabad","2020-05-12",67.8,"Telangana"
"Hyderabad","2020-05-13",67.8,"Telangana"
"Hyderabad","2020-05-14",67.8,"Telangana"
"Hyderabad","2020-05-15",67.8,"Telangana"
"Hyderabad","2020-05-16",67.8,"Telangana"
"Hyderabad","2020-05-17",67.8,"Telangana"
"Hyderabad","2020-05-18",67.8,"Telangana"
"Hyderabad","2020-05-19",67.8,"Telangana"
"Hyderabad","2020-05-20",67.8,"Telangana"
"Hyderabad","2020-05-21",67.8,"Telangana"
"Hyderabad","2020-05-22",67.8,"Telangana"
"Hyderabad","2020-05-23",67.8,"Telangana"
"Hyderabad","2020-05-24",67.8,"Telangana"
"Hyderabad","2020-05-25",67.8,"Telangana"
"Hyderabad","2020-05-26",67.8,"Telangana"
"Hyderabad","2020-05-27",67.8,"Telangana"
"Hyderabad","2020-05-28",67.8,"Telangana"
"Hyderabad","2020-05-29",67.8,"Telangana"
"Hyderabad","2020-05-30",67.8,"Telangana"
"Hyderabad","2020-05-31",67.8,"Telangana"
"Hyderabad","2020-06-01",67.8,"Telangana"
"Hyderabad","2020-06-02",67.8,"Telangana"
"Hyderabad","2020-06-03",67.8,"Telangana"
"Hyderabad","2020-06-04",67.8,"Telangana"
"Hyderabad","2020-06-05",67.8,"Telangana"
"Hyderabad","2020-06-06",67.8,"Telangana"
"Hyderabad","2020-06-07",67.8,"Telangana"
"Hyderabad","2020-06-08",67.8,"Telangana"
"Hyderabad","2020-06-09",68.8,"Telangana"
"Hyderabad","2020-06-10",69.98,"Telangana"
"Hyderabad","2020-06-11",69.98,"Telangana"
"Hyderabad","2020-06-12",71.18,"Telangana"
"Hyderabad","2020-06-13",71.78,"Telangana"
"Hyderabad","2020-06-14",72.38,"Telangana"
"Hyderabad","2020-06-15",72.91,"Telangana"
"Hyderabad","2020-06-16",73.47,"Telangana"
"Hyderabad","2020-06-17",74.05,"Telangana"
"Hyderabad","2020-06-18",74.68,"Telangana"
"Hyderabad","2020-06-19",75.29,"Telangana"
"Hyderabad","2020-06-20",75.89,"Telangana"
"Hyderabad","2020-06-21",76.48,"Telangana"
"Hyderabad","2020-06-22",77.04,"Telangana"
"Hyderabad","2020-06-23",77.58,"Telangana"
"Hyderabad","2020-06-24",78.04,"Telangana"
"Hyderabad","2020-06-25",78.18,"Telangana"
"Hyderabad","2020-06-26",78.34,"Telangana"
"Hyderabad","2020-06-27",78.55,"Telangana"
"Hyderabad","2020-06-28",78.55,"Telangana"
"Hyderabad","2020-06-29",78.67,"Telangana"
"Hyderabad","2020-06-30",78.67,"Telangana"
"Hyderabad","2020-07-01",78.67,"Telangana"
"Hyderabad","2020-07-02",78.67,"Telangana"
"Hyderabad","2020-07-03",78.67,"Telangana"
"Hyderabad","2020-07-04",78.67,"Telangana"
"Hyderabad","2020-07-05",78.67,"Telangana"
"Hyderabad","2020-07-06",78.67,"Telangana"
"Hyderabad","2020-07-07",78.94,"Telangana"
"Hyderabad","2020-07-08",78.94,"Telangana"
"Hyderabad","2020-07-09",78.94,"Telangana"
"Hyderabad","2020-07-10",78.94,"Telangana"
"Hyderabad","2020-07-11",78.94,"Telangana"
"Hyderabad","2020-07-12",79.09,"Telangana"
"Hyderabad","2020-07-13",79.2,"Telangana"
"Hyderabad","2020-07-14",79.2,"Telangana"
"Hyderabad","2020-07-15",79.33,"Telangana"
"Hyderabad","2020-07-16",79.33,"Telangana"
"Hyderabad","2020-07-17",79.5,"Telangana"
"Hyderabad","2020-07-18",79.74,"Telangana"
"Hyderabad","2020-07-19",79.74,"Telangana"
"Hyderabad","2020-07-20",79.91,"Telangana"
"Hyderabad","2020-07-21",79.91,"Telangana"
"Hyderabad","2020-07-22",79.91,"Telangana"
"Hyderabad","2020-07-23",79.91,"Telangana"
"Hyderabad","2020-07-24",79.91,"Telangana"
"Hyderabad","2020-07-25",80.05,"Telangana"
"Hyderabad","2020-07-26",80.2,"Telangana"
"Hyderabad","2020-07-27",80.2,"Telangana"
"Hyderabad","2020-07-28",80.2,"Telangana"
"Hyderabad","2020-07-29",80.2,"Telangana"
"Hyderabad","2020-07-30",80.2,"Telangana"
"Hyderabad","2020-07-31",80.2,"Telangana"
"Hyderabad","2020-08-01",80.2,"Telangana"
"Hyderabad","2020-08-02",80.2,"Telangana"
"Hyderabad","2020-08-03",80.2,"Telangana"
"Hyderabad","2020-08-04",80.2,"Telangana"
"Hyderabad","2020-08-05",80.2,"Telangana"
"Hyderabad","2020-08-06",80.2,"Telangana"
"Hyderabad","2020-08-07",80.2,"Telangana"
"Hyderabad","2020-08-08",80.2,"Telangana"
"Hyderabad","2020-08-09",80.2,"Telangana"
"Hyderabad","2020-08-10",80.2,"Telangana"
"Hyderabad","2020-08-11",80.2,"Telangana"
"Hyderabad","2020-08-12",80.2,"Telangana"
"Hyderabad","2020-08-13",80.2,"Telangana"
"Hyderabad","2020-08-14",80.2,"Telangana"
"Hyderabad","2020-08-15",80.2,"Telangana"
"Hyderabad","2020-08-16",80.23,"Telangana"
"Hyderabad","2020-08-17",80.23,"Telangana"
"Hyderabad","2020-08-18",80.23,"Telangana"
"Hyderabad","2020-08-19",80.23,"Telangana"
"Hyderabad","2020-08-20",80.23,"Telangana"
"Hyderabad","2020-08-21",80.23,"Telangana"
"Hyderabad","2020-08-22",80.23,"Telangana"
"Hyderabad","2020-08-23",80.23,"Telangana"
"Hyderabad","2020-08-24",80.23,"Telangana"
"Hyderabad","2020-08-25",80.23,"Telangana"
"Hyderabad","2020-08-26",80.23,"Telangana"
"Hyderabad","2020-08-27",80.23,"Telangana"
"Hyderabad","2020-08-28",80.23,"Telangana"
"Hyderabad","2020-08-29",80.23,"Telangana"
"Hyderabad","2020-08-30",80.23,"Telangana"
"Hyderabad","2020-08-31",80.23,"Telangana"
"Hyderabad","2020-09-01",80.23,"Telangana"
"Hyderabad","2020-09-02",80.23,"Telangana"
"Hyderabad","2020-09-03",80.05,"Telangana"
"Hyderabad","2020-09-04",80.05,"Telangana"
"Hyderabad","2020-09-05",79.91,"Telangana"
"Hyderabad","2020-09-06",79.91,"Telangana"
"Hyderabad","2020-09-07",79.79,"Telangana"
"Hyderabad","2020-09-08",79.79,"Telangana"
"Hyderabad","2020-09-09",79.79,"Telangana"
"Hyderabad","2020-09-10",79.67,"Telangana"
"Hyderabad","2020-09-11",79.67,"Telangana"
"Hyderabad","2020-09-12",79.54,"Telangana"
"Hyderabad","2020-09-13",79.54,"Telangana"
"Hyderabad","2020-09-14",79.38,"Telangana"
"Hyderabad","2020-09-15",79.14,"Telangana"
"Hyderabad","2020-09-16",79.14,"Telangana"
"Hyderabad","2020-09-17",78.93,"Telangana"
"Hyderabad","2020-09-18",78.55,"Telangana"
"Hyderabad","2020-09-19",78.34,"Telangana"
"Hyderabad","2020-09-20",78.09,"Telangana"
"Hyderabad","2020-09-21",77.93,"Telangana"
"Hyderabad","2020-09-22",77.78,"Telangana"
"Hyderabad","2020-09-23",77.78,"Telangana"
"Hyderabad","2020-09-24",77.78,"Telangana"
"Hyderabad","2020-09-25",77.59,"Telangana"
"Hyderabad","2020-09-26",77.41,"Telangana"
"Hyderabad","2020-09-27",77.26,"Telangana"
"Hyderabad","2020-09-28",77.16,"Telangana"
"Hyderabad","2020-09-29",77.07,"Telangana"
"Hyderabad","2020-09-30",77.07,"Telangana"
"Hyderabad","2020-10-01",76.97,"Telangana"
"Hyderabad","2020-10-02",76.88,"Telangana"
"Hyderabad","2020-10-03",76.88,"Telangana"
"Hyderabad","2020-10-04",76.88,"Telangana"
"Hyderabad","2020-10-05",76.88,"Telangana"
"Hyderabad","2020-10-06",76.88,"Telangana"
"Hyderabad","2020-10-07",76.88,"Telangana"
"Hyderabad","2020-10-08",76.88,"Telangana"
"Hyderabad","2020-10-09",76.88,"Telangana"
"Hyderabad","2020-10-10",76.88,"Telangana"
"Hyderabad","2020-10-11",76.88,"Telangana"
"Hyderabad","2020-10-12",76.88,"Telangana"
"Hyderabad","2020-10-13",76.88,"Telangana"
"Hyderabad","2020-10-14",76.88,"Telangana"
"Hyderabad","2020-10-15",76.88,"Telangana"
"Hyderabad","2020-10-16",76.88,"Telangana"
"Hyderabad","2020-10-17",76.88,"Telangana"
"Hyderabad","2020-10-18",76.88,"Telangana"
"Hyderabad","2020-10-19",76.88,"Telangana"
"Hyderabad","2020-10-20",76.88,"Telangana"
"Hyderabad","2020-10-21",76.88,"Telangana"
"Hyderabad","2020-10-22",76.88,"Telangana"
"Hyderabad","2020-10-23",76.88,"Telangana"
"Hyderabad","2020-10-24",76.88,"Telangana"
"Hyderabad","2020-10-25",76.88,"Telangana"
"Hyderabad","2020-10-26",76.88,"Telangana"
"Hyderabad","2020-10-27",76.88,"Telangana"
"Hyderabad","2020-10-28",76.88,"Telangana"
"Hyderabad","2020-10-29",76.88,"Telangana"
"Hyderabad","2020-10-30",76.88,"Telangana"
"Hyderabad","2020-10-31",76.88,"Telangana"
"Hyderabad","2020-11-01",76.88,"Telangana"
"Hyderabad","2020-11-02",76.88,"Telangana"
