"city","date","rate","state"
"Hyderabad","2019-12-31",79.85,"Telangana"
"Hyderabad","2020-01-02",79.99,"Telangana"
"Hyderabad","2020-01-03",80.1,"Telangana"
"Hyderabad","2020-01-04",80.2,"Telangana"
"Hyderabad","2020-01-05",80.3,"Telangana"
"Hyderabad","2020-01-06",80.46,"Telangana"
"Hyderabad","2020-01-07",80.61,"Telangana"
"Hyderabad","2020-01-08",80.51,"Telangana"
"Hyderabad","2020-01-09",80.59,"Telangana"
"Hyderabad","2020-01-10",80.74,"Telangana"
"Hyderabad","2020-01-11",80.8,"Telangana"
"Hyderabad","2020-01-12",80.7,"Telangana"
"Hyderabad","2020-01-13",80.57,"Telangana"
"Hyderabad","2020-01-14",80.47,"Telangana"
"Hyderabad","2020-01-16",80.31,"Telangana"
"Hyderabad","2020-01-17",80.16,"Telangana"
"Hyderabad","2020-01-18",80,"Telangana"
"Hyderabad","2020-01-19",79.82,"Telangana"
"Hyderabad","2020-01-20",79.7,"Telangana"
"Hyderabad","2020-01-21",79.54,"Telangana"
"Hyderabad","2020-01-22",79.54,"Telangana"
"Hyderabad","2020-01-23",79.36,"Telangana"
"Hyderabad","2020-01-24",79.14,"Telangana"
"Hyderabad","2020-01-25",78.89,"Telangana"
"Hyderabad","2020-01-26",78.59,"Telangana"
"Hyderabad","2020-01-27",78.35,"Telangana"
"Hyderabad","2020-01-28",78.24,"Telangana"
"Hyderabad","2020-01-29",78.24,"Telangana"
"Hyderabad","2020-01-30",78,"Telangana"
"Hyderabad","2020-01-31",77.89,"Telangana"
"Hyderabad","2020-02-01",77.74,"Telangana"
"Hyderabad","2020-02-02",77.64,"Telangana"
"Hyderabad","2020-02-03",77.58,"Telangana"
"Hyderabad","2020-02-04",77.53,"Telangana"
"Hyderabad","2020-02-05",77.53,"Telangana"
"Hyderabad","2020-02-06",77.42,"Telangana"
"Hyderabad","2020-02-07",77.2,"Telangana"
"Hyderabad","2020-02-08",76.96,"Telangana"
"Hyderabad","2020-02-09",76.72,"Telangana"
"Hyderabad","2020-02-10",76.58,"Telangana"
"Hyderabad","2020-02-11",76.41,"Telangana"
"Hyderabad","2020-02-12",76.41,"Telangana"
"Hyderabad","2020-02-13",76.41,"Telangana"
"Hyderabad","2020-02-14",76.41,"Telangana"
"Hyderabad","2020-02-15",76.41,"Telangana"
"Hyderabad","2020-02-17",76.41,"Telangana"
"Hyderabad","2020-02-18",76.36,"Telangana"
"Hyderabad","2020-02-19",76.36,"Telangana"
"Hyderabad","2020-02-20",76.36,"Telangana"
"Hyderabad","2020-02-21",76.36,"Telangana"
"Hyderabad","2020-02-24",76.48,"Telangana"
"Hyderabad","2020-02-25",76.48,"Telangana"
"Hyderabad","2020-02-26",76.48,"Telangana"
"Hyderabad","2020-02-27",76.43,"Telangana"
"Hyderabad","2020-02-28",76.43,"Telangana"
"Hyderabad","2020-02-29",76.36,"Telangana"
"Hyderabad","2020-03-01",76.21,"Telangana"
"Hyderabad","2020-03-02",75.97,"Telangana"
"Hyderabad","2020-03-03",75.92,"Telangana"
