"city","date","rate","state"
"Mumbai","2019-12-31",71.29,"Maharashtra"
"Mumbai","2020-01-01",71.29,"Maharashtra"
"Mumbai","2020-01-02",71.46,"Maharashtra"
"Mumbai","2020-01-03",71.62,"Maharashtra"
"Mumbai","2020-01-04",71.77,"Maharashtra"
"Mumbai","2020-01-05",71.89,"Maharashtra"
"Mumbai","2020-01-06",72.07,"Maharashtra"
"Mumbai","2020-01-07",72.17,"Maharashtra"
"Mumbai","2020-01-08",72.17,"Maharashtra"
"Mumbai","2020-01-09",72.35,"Maharashtra"
"Mumbai","2020-01-10",72.47,"Maharashtra"
"Mumbai","2020-01-11",72.59,"Maharashtra"
"Mumbai","2020-01-12",72.54,"Maharashtra"
"Mumbai","2020-01-13",72.48,"Maharashtra"
"Mumbai","2020-01-14",72.48,"Maharashtra"
"Mumbai","2020-01-15",72.48,"Maharashtra"
"Mumbai","2020-01-16",72.33,"Maharashtra"
"Mumbai","2020-01-17",72.17,"Maharashtra"
"Mumbai","2020-01-18",72,"Maharashtra"
"Mumbai","2020-01-19",71.83,"Maharashtra"
"Mumbai","2020-01-20",71.63,"Maharashtra"
"Mumbai","2020-01-21",71.41,"Maharashtra"
"Mumbai","2020-01-22",71.41,"Maharashtra"
"Mumbai","2020-01-23",71.21,"Maharashtra"
"Mumbai","2020-01-24",70.95,"Maharashtra"
"Mumbai","2020-01-25",70.95,"Maharashtra"
"Mumbai","2020-01-26",70.35,"Maharashtra"
"Mumbai","2020-01-27",69.98,"Maharashtra"
"Mumbai","2020-01-28",69.85,"Maharashtra"
"Mumbai","2020-01-29",69.85,"Maharashtra"
"Mumbai","2020-01-30",69.63,"Maharashtra"
"Mumbai","2020-01-30",69.63,"Maharashtra"
"Mumbai","2020-01-31",69.53,"Maharashtra"
"Mumbai","2020-02-01",69.41,"Maharashtra"
"Mumbai","2020-02-02",69.33,"Maharashtra"
"Mumbai","2020-02-03",69.24,"Maharashtra"
"Mumbai","2020-02-04",69.22,"Maharashtra"
"Mumbai","2020-02-05",69.22,"Maharashtra"
"Mumbai","2020-02-06",69.06,"Maharashtra"
"Mumbai","2020-02-07",68.8,"Maharashtra"
"Mumbai","2020-02-08",68.54,"Maharashtra"
"Mumbai","2020-02-09",68.54,"Maharashtra"
"Mumbai","2020-02-10",68.15,"Maharashtra"
"Mumbai","2020-02-11",67.94,"Maharashtra"
"Mumbai","2020-02-12",67.94,"Maharashtra"
"Mumbai","2020-02-13",67.89,"Maharashtra"
"Mumbai","2020-02-14",67.89,"Maharashtra"
"Mumbai","2020-02-15",67.84,"Maharashtra"
"Mumbai","2020-02-16",67.84,"Maharashtra"
"Mumbai","2020-02-17",67.84,"Maharashtra"
"Mumbai","2020-02-18",67.71,"Maharashtra"
"Mumbai","2020-02-19",67.71,"Maharashtra"
