"city","date","rate","state"
"Mumbai","2019-12-31",80.77,"Maharashtra"
"Mumbai","2020-01-02",80.9,"Maharashtra"
"Mumbai","2020-01-03",81,"Maharashtra"
"Mumbai","2020-01-04",81.1,"Maharashtra"
"Mumbai","2020-01-05",81.19,"Maharashtra"
"Mumbai","2020-01-06",81.34,"Maharashtra"
"Mumbai","2020-01-07",81.49,"Maharashtra"
"Mumbai","2020-01-08",81.39,"Maharashtra"
"Mumbai","2020-01-09",81.45,"Maharashtra"
"Mumbai","2020-01-10",81.6,"Maharashtra"
"Mumbai","2020-01-11",81.65,"Maharashtra"
"Mumbai","2020-01-12",81.55,"Maharashtra"
"Mumbai","2020-01-13",81.44,"Maharashtra"
"Mumbai","2020-01-14",81.34,"Maharashtra"
"Mumbai","2020-01-16",81.2,"Maharashtra"
"Mumbai","2020-01-17",81.06,"Maharashtra"
"Mumbai","2020-01-18",80.91,"Maharashtra"
"Mumbai","2020-01-19",80.74,"Maharashtra"
"Mumbai","2020-01-20",80.63,"Maharashtra"
"Mumbai","2020-01-21",80.47,"Maharashtra"
"Mumbai","2020-01-22",80.47,"Maharashtra"
"Mumbai","2020-01-23",80.29,"Maharashtra"
"Mumbai","2020-01-24",80.07,"Maharashtra"
"Mumbai","2020-01-25",79.82,"Maharashtra"
"Mumbai","2020-01-26",79.52,"Maharashtra"
"Mumbai","2020-01-27",79.38,"Maharashtra"
"Mumbai","2020-01-28",79.27,"Maharashtra"
"Mumbai","2020-01-29",79.27,"Maharashtra"
"Mumbai","2020-01-30",79.03,"Maharashtra"
"Mumbai","2020-01-31",78.94,"Maharashtra"
"Mumbai","2020-02-01",78.8,"Maharashtra"
"Mumbai","2020-02-02",78.7,"Maharashtra"
"Mumbai","2020-02-03",78.66,"Maharashtra"
"Mumbai","2020-02-04",78.61,"Maharashtra"
"Mumbai","2020-02-05",78.61,"Maharashtra"
"Mumbai","2020-02-06",78.51,"Maharashtra"
"Mumbai","2020-02-07",78.3,"Maharashtra"
"Mumbai","2020-02-08",78.07,"Maharashtra"
"Mumbai","2020-02-09",77.85,"Maharashtra"
"Mumbai","2020-02-10",77.72,"Maharashtra"
"Mumbai","2020-02-11",77.57,"Maharashtra"
"Mumbai","2020-02-12",77.57,"Maharashtra"
"Mumbai","2020-02-13",77.57,"Maharashtra"
"Mumbai","2020-02-14",77.57,"Maharashtra"
"Mumbai","2020-02-15",77.57,"Maharashtra"
"Mumbai","2020-02-17",77.57,"Maharashtra"
"Mumbai","2020-02-18",77.52,"Maharashtra"
"Mumbai","2020-02-19",77.52,"Maharashtra"
"Mumbai","2020-02-20",77.52,"Maharashtra"
"Mumbai","2020-02-21",77.52,"Maharashtra"
"Mumbai","2020-02-24",77.64,"Maharashtra"
"Mumbai","2020-02-25",77.64,"Maharashtra"
"Mumbai","2020-02-26",77.64,"Maharashtra"
"Mumbai","2020-02-27",77.59,"Maharashtra"
"Mumbai","2020-02-28",77.59,"Maharashtra"
"Mumbai","2020-02-29",77.52,"Maharashtra"
"Mumbai","2020-03-01",77.38,"Maharashtra"
"Mumbai","2020-03-02",77.16,"Maharashtra"
"Mumbai","2020-03-03",77.11,"Maharashtra"
"Mumbai","2020-03-04",77.11,"Maharashtra"
"Mumbai","2020-03-05",76.96,"Maharashtra"
"Mumbai","2020-03-06",76.81,"Maharashtra"
"Mumbai","2020-03-07",76.69,"Maharashtra"
"Mumbai","2020-03-08",76.51,"Maharashtra"
"Mumbai","2020-03-09",76.27,"Maharashtra"
"Mumbai","2020-03-10",75.97,"Maharashtra"
"Mumbai","2020-03-11",75.97,"Maharashtra"
"Mumbai","2020-03-12",75.82,"Maharashtra"
"Mumbai","2020-03-13",75.68,"Maharashtra"
"Mumbai","2020-03-14",75.55,"Maharashtra"
"Mumbai","2020-03-15",75.44,"Maharashtra"
"Mumbai","2020-03-16",75.28,"Maharashtra"
"Mumbai","2020-03-17",75.28,"Maharashtra"
"Mumbai","2020-03-18",75.28,"Maharashtra"
"Mumbai","2020-03-19",75.28,"Maharashtra"
"Mumbai","2020-03-20",75.28,"Maharashtra"
"Mumbai","2020-03-21",75.28,"Maharashtra"
"Mumbai","2020-03-22",75.28,"Maharashtra"
"Mumbai","2020-03-23",75.28,"Maharashtra"
